ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _et_pb_post_hide_nav,Meta: _et_pb_page_layout,Meta: _et_pb_side_nav,Meta: _et_pb_use_builder,Meta: _et_pb_first_image,Meta: _et_pb_truncate_post,Meta: _et_pb_truncate_post_date,Meta: _et_pb_old_content,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default
73,variable,AIR-Plus,"Tranquility AIR-Plus™",1,0,visible,"Stretchy, side panels extend to a circumference of 106”. The peach absorbent core minimizes odor and holds over one quart (34 ounces) of fluid for maximum protection.","This disposable brief is 100% breathable allowing for complete air circulation. Each portion of the brief has microscopic pores that allow moisture vapor to escape for total comfort. Stretchy, side panels extend to a circumference of 106”. The peach absorbent core minimizes odor and holds over one quart (34 ounces) of fluid for maximum protection. The brief features a cloth-like outer layer, micro-hook closure tabs, Kufguards (inner leg cuffs) for leakage/bowel containment, a dual wetness indicator and elastic leg gathers. Latex-free.",,,taxable,,1,,,0,0,,,,,1,,27.00,27.00,"Bariatric, Briefs, Overnight",,,"https://dependabledaughter.com/wp-content/uploads/2013/06/2195AIR-Plus-Bariatric-Pack.1000.jpg, https://dependabledaughter.com/wp-content/uploads/2013/06/2192BariatricBrief.1000.jpg, https://dependabledaughter.com/wp-content/uploads/2013/06/2192BariatricBrief-Prod-Bag.1000.jpg",,,,,,,,,0,Product Size,"4XL, 70 - 106 in.",1,1,,et_right_sidebar,off,,,,,,4XL, 70 - 106 in.,Package Size,"Sample (1), Package (8), Case (32) - Best Value!",1,1,Sample (1),,"",1,1,
2726,variation,,"Tranquility AIR-Plus™ - 4XL, 70 - 106 in. - Package (8)",1,0,visible,"","",,,taxable,parent,1,,,0,0,,,,,0,,27.00,27.00,"",,,"https://dependabledaughter.com/wp-content/uploads/2013/06/2195AIR-Plus-Bariatric-Pack.1000.jpg",,,id:73,,,,,,1,Product Size,"4XL, 70 - 106 in.",,1,,et_right_sidebar,off,,,,,,,Package Size,"Package (8)",,1,,,"",,1,
2725,variation,,"Tranquility AIR-Plus™ - 4XL, 70 - 106 in. - Case (32) - Best Value!",1,0,visible,"","",,,taxable,parent,1,,,0,0,,,,,0,,27.00,27.00,"",,,"https://dependabledaughter.com/wp-content/uploads/2013/06/2195AIR-Plus-Bariatric-Pack.1000.jpg",,,id:73,,,,,,2,Product Size,"4XL, 70 - 106 in.",,1,,et_right_sidebar,off,,,,,,,Package Size,"Case (32) - Best Value!",,1,,,"",,1,
76,variable,,"Tranquility SmartCore®",1,0,visible,"SmartCore disposable briefs maintain an ideal micro-climate for preserving skin integrity. The high capacity absorbent peach core remains effective up to 6-8 hours. Breathable sides eliminate heat and moisture build-up.","SmartCore disposable briefs maintain an ideal micro-climate for preserving skin integrity. The high capacity absorbent peach core remains effective up to 6-8 hours. Breathable sides eliminate heat and moisture build-up. Micro-hook closure tabs grip the soft, cloth-like outer layer to securely fasten the brief and allow for multiple openings. Kufguards® (inner leg cuffs) channel fluids into the core, helping to contain high volume urge episodes and bowel incontinence. The wetness indicator turns from yellow to blue when moisture is present, thus eliminating unnecessary changes and reducing costs. These briefs are available in 5 color-coded sizes. Latex-free.",,,taxable,,1,,,0,0,,,,,1,,1.99,1.99,"Briefs",,,"https://dependabledaughter.com/wp-content/uploads/2013/06/2311-SmartCore-S-Pack.1000.jpg, https://dependabledaughter.com/wp-content/uploads/2013/06/2311-SmartCore-Green.1000.jpg, https://dependabledaughter.com/wp-content/uploads/2013/06/2311-SmartCore-Prod-Bag.1000.jpg, https://dependabledaughter.com/wp-content/uploads/2013/06/2312-SmartCore-White.1000.jpg",,,,,,,,,0,Product Size,"Small, 24 - 32 in., Medium, 32- 44 in., Large, 45 - 58 in., X-Large, 56 - 64 in., 2XL, 60- 80 in.",1,1,,et_right_sidebar,off,,,,,,Small, 24 - 32 in.,Package Size,"Sample (1), Package (8), Package (10), Package (12), Case (32) - Best Value!, Case (72) - Best Value!, Case (96) - Best Value!, Case (100) - Best Value!",1,1,Sample (1),,"",1,1,
3542,variation,,"Tranquility SmartCore® - 2XL, 60- 80 in. - Package (8)",1,0,visible,"","",,,taxable,parent,1,,,0,0,,,,,0,,1.99,1.99,"",,,"https://dependabledaughter.com/wp-content/uploads/2013/06/2311-SmartCore-S-Pack.1000.jpg",,,id:76,,,,,,1,Product Size,"2XL, 60- 80 in.",,1,,et_right_sidebar,off,,,,,,,Package Size,"Package (8)",,1,,,"",,1,
3535,variation,,"Tranquility SmartCore® - Large, 45 - 58 in. - Package (12)",1,0,visible,"","",,,taxable,parent,1,,,0,0,,,,,0,,1.99,1.99,"",,,"https://dependabledaughter.com/wp-content/uploads/2013/06/2311-SmartCore-S-Pack.1000.jpg",,,id:76,,,,,,2,Product Size,"Large, 45 - 58 in.",,1,,et_right_sidebar,off,,,,,,,Package Size,"Package (12)",,1,,,"",,1,
3536,variation,,"Tranquility SmartCore® - Large, 45 - 58 in. - Case (96) - Best Value!",1,0,visible,"","",,,taxable,parent,1,,,0,0,,,,,0,,1.99,1.99,"",,,"https://dependabledaughter.com/wp-content/uploads/2013/06/2311-SmartCore-S-Pack.1000.jpg",,,id:76,,,,,,3,Product Size,"Large, 45 - 58 in.",,1,,et_right_sidebar,off,,,,,,,Package Size,"Case (96) - Best Value!",,1,,,"",,1,
3537,variation,,"Tranquility SmartCore® - X-Large, 56 - 64 in. - Sample (1)",1,0,visible,"","",,,taxable,parent,1,,,0,0,,,,,0,,1.99,1.99,"",,,"https://dependabledaughter.com/wp-content/uploads/2013/06/2311-SmartCore-S-Pack.1000.jpg",,,id:76,,,,,,4,Product Size,"X-Large, 56 - 64 in.",,1,,et_right_sidebar,off,,,,,,,Package Size,"Sample (1)",,1,,,"",,1,
3538,variation,,"Tranquility SmartCore® - X-Large, 56 - 64 in. - Package (12)",1,0,visible,"","",,,taxable,parent,1,,,0,0,,,,,0,,1.99,1.99,"",,,"https://dependabledaughter.com/wp-content/uploads/2013/06/2311-SmartCore-S-Pack.1000.jpg",,,id:76,,,,,,5,Product Size,"X-Large, 56 - 64 in.",,1,,et_right_sidebar,off,,,,,,,Package Size,"Package (12)",,1,,,"",,1,
3539,variation,,"Tranquility SmartCore® - X-Large, 56 - 64 in. - Case (72) - Best Value!",1,0,visible,"","",,,taxable,parent,1,,,0,0,,,,,0,,1.99,1.99,"",,,"https://dependabledaughter.com/wp-content/uploads/2013/06/2311-SmartCore-S-Pack.1000.jpg",,,id:76,,,,,,6,Product Size,"X-Large, 56 - 64 in.",,1,,et_right_sidebar,off,,,,,,,Package Size,"Case (72) - Best Value!",,1,,,"",,1,
